name,tuitionInState,studentLoans
"Adult and Continuing Education-BCTS",,3362
"American Institute of Pharmaceutical Technology",,
"American Institute of Pharmaceutical Technology - Polifly",,
"Assumption College for Sisters",5383,
"Bais Medrash Toras Chesed",8800,
"Bergen Community College",6576,4788
"Best Care Training Institute",,4678
"Beth Medrash Govoha",18356,
"Branford Hall Career Institute-Woodland Park",,
"Brookdale Community College",5700,4534
"Camden County College",3330,1825
"Chamberlain College of Nursing-New Jersey",,
"Cortiva Institute-New Jersey",9359,3618
"County College of Morris",7080,4108
"Eastern International College-Belleville",20400,3901
"Eastern International College-Jersey City",20400,3973
"Essex County College",5208,
"Hudson County Community College",6960,4906
"JFK Muhlenberg Harold B & Dorothy A Snyder Schools-School of Imaging",9900,4103
"JFK Muhlenberg Harold B & Dorothy A Snyder Schools-School of Nursing",9900,4459
"Jolie Health & Beauty Academy-Cherry Hill",,
"Medical Career Institute",,3525
"Mercer County Community College",3888,2886
"Mesivta Keser Torah",13200,
"Middlesex County College",4992,3988
"Monmouth University-Monmouth Park Corporate Center",,
"New Brunswick Theological Seminary",,
"Passaic County Community College",3750,3848
"Princeton Theological Seminary",,
"Prism Career Institute-West Atlantic City",,4722
"Rabbi Jacob Joseph School",10700,
"Rabbinical College of America",10700,
"Raritan Valley Community College",3696,4511
"Relay Graduate School of Education-Newark",,
"Rizzieri Institute",,3663
"Rowan College at Burlington County",3480,4773
"Rowan College at Gloucester County",3650,4906
"Saint Francis Medical Center School of Nursing",11700,
"StenoTech Career Institute-Fairfield",,
"Sussex County Community College",5700,2911
"Talmudical Academy-New Jersey",11500,
"Teterboro School of Aeronautics",,3584
"Total Image Beauty Academy",,3278
"Union County Vocational Technical School",,4407
"Warren County Community College",3960,4957
"Yeshiva Gedolah Zichron Leyma",11500,
"Yeshiva Toras Chaim",11650,
"Yeshiva Yesodei Hatorah",11000,
"Yeshivas Be'er Yitzchok",10200,
