Race,Major,Major_Salary,Major_Salary_Error
Asian," Biological agricultural and environmental science   ",74753,4745
Asian," Business  ",60717,588
Asian," Communications  ",60199,3486
Asian," Computers mathematics and statistics   ",85211,1665
Asian," Education  ",45600,2232
Asian," Engineering  ",92033,514
Asian," Liberal arts and history  ",50117,2984
Asian," Literature and languages  ",60890,1772
Asian," Multidisciplinary studies  ",60805,5855
Asian," Other (e.g. criminal justice social work)   ",54757,4209
